title,vendor_code,price,description,characteristics,image_url,url
"Очиститель высокого давления ECO HPW-2027RSW
                    (2.70 кВт; 200 бар; 560 л/ч; самовсас.; асинхр. мотор с водяным охлажд.; барабан для шланга; щётка)",HPW1860RSD01,"885,40","Преимущества: | | ■ Асинхронный бесщёточный двигатель с водяным охлаждением | ■ Алюминиевый корпус насоса высокого давления; | ■ Режим самовсасывания; | ■ Телескопическая ручка; | ■ Веерные 0°/15°/25°/40° и грязевая форсунки в комплекте; | ■ Вращающаяся щётка в комплекте; | ■ Катушка для хранения высоконапорного шланга; | ■ Фильтр тонкой очистки в комплекте | | | | | | | | | | | Файлы | | | | | | | | | Производитель: | ECO GROUP HONG KONG LIMITED, UNIT 617, 6/F, 131-132 CONNAUGHT ROAD WEST, SOLO WORKSHOPS, HONG KONG | | | Назначение: | | | | Страна изготовления: | Китай | | | Импортер/Продавец: | ООО ""ТД Комплект"", РБ, г.Минск, ул. Кнорина,д.50,к.302 А | | | Штрихкод: | | 6978018615315 | | | | | Габариты ДxШxВ, см: | 41 x 36.5 x 81 | | | Вес с упаковкой, кг: | 21.835 | | | | | | | | | | | | | | | | | | ECO | Садовая и силовая техника | | | | | | | | | Описание: | Очиститель высокого давления предназначен для очистки поверхностей водой под давлением при помощи различных насадок | | | | | Комплектация: | | + Очиститель высокого давления - 1 шт.; | + Моечный пистолет - 1 шт.; | + Шланг высокого давления 8 м - 1 шт.; | + Удлинительная трубка - 1 шт.; | + Веерная фреза - 4 шт.; | + Роторная (грязевая) фреза - 1 шт.; | + Пеногенератор - 1 шт.; | + Моющая щетка - 1 шт.; | + Мини-фильтр тонкой очистки 1/2"" - 1 шт.; | + Адаптер для винтового соединения - 1 шт.; | + Держатель для аксессуаров - 1 шт.; | + Держателя кабеля - 1 шт.; | + Держатель моечного пистолета (верхний) - 1 шт.; | + Держатель моечного пистолета (нижний) - 1 шт.; | + Коннектор HPC 1/2"" - 1 шт.; | + Инструмент для чистки форсунки - 1 шт.; | + Винт 4*16 мм - 4 шт.; | + Руководство по эксплуатации - 1 шт.; | + Упаковка",,https://content.tools.by/images/products/cz-0175747576/Gbe/GbeWqmTNYKJea0sFWvWaoq9F7f7rkXSvKf8yqqz5.jpg,https://tools.by/product/1714589
Соединение быстросъем. ПАПА х елочка 10 мм (сталь) ECO,AB-MT12/E10,"7,54","Производитель: | ECO GROUP HONG KONG LIMITED, UNIT 617, 6/F, 131-132 CONNAUGHT ROAD WEST, SOLO WORKSHOPS, HONG KONG | | | Назначение: | Для обеспечения шланговых соединений | | | Страна изготовления: | Китай | | | Импортер/Продавец: | ООО ""ТД Комплект"", РБ, г.Минск, ул. Кнорина,д.50,к.302 А | | | Штрихкод: | | 5291501778108 | | | | | Габариты ДxШxВ, см: | 9 x 7 x 1.6 | | | Вес с упаковкой, кг: | 0.02 | | | | | | | | | | | | | | | | | | ECO | Садовая и силовая техника | | | | | | | | | Описание: | Быстросъемное соединение ПАПА наиболее распространенного Немецкого типа (Germany type). | Никелевое покрытие стали для защиты от коррозии.",,https://content.tools.by/images/products/cb-0013086684/Tc2/Tc2tTXBfK4QyYY3xMe7m2bCF3szsHZoIGQAbRZS9.jpg,https://tools.by/product/911527
"Краскораспылитель ECO SG-2000 (сопло ф 1.0 мм)
                    (HVLP, сопло ф 1.0 мм, верх. бак 110 мл)",DG4016-4,"31,32","Преимущества: | | ■ верхний пластиковый бак 110 мл | ■ латунная голова распылителя с покрытием | ■ регулировка подачи материала | ■ регулировка формы факела | ■ регулировка количества воздуха | ■ сопло 1.0 мм | ■ легкий вес | ■ быстросъемное соединение в комплекте | | | | | | | | | | | Файлы | | | | | | | | | Производитель: | ECO GROUP HONG KONG LIMITED, UNIT 617, 6/F, 131-132 CONNAUGHT ROAD WEST, SOLO WORKSHOPS, HONG KONG | | | Назначение: | | | | Страна изготовления: | Китай | | | Импортер/Продавец: | ООО ""ТД Комплект"", РБ, г.Минск, ул. Кнорина,д.50,к.302 А | | | Штрихкод: | | 8213112892346 | | | | | Габариты ДxШxВ, см: | 18 x 9 x 9 | | | Вес с упаковкой, кг: | 0.394 | | | | | | | | | | | | | | | | | | ECO | Садовая и силовая техника | | | | | | | | | Описание: | Компактный и легкий краскораспылитель типа HVLP для нанесения материалов на небольшие поверхности. | | Достоинства HVLP (High Volume Low Pressure - высокий объем, низкое давление): | - высокая экономия материалов. | - практически отсутствие опыла. | - нет завихрений - нет мусора.",,https://content.tools.by/images/products/cd-0394618525/BGA/BGAiQIXEQ2wtnLfAuC16rsfy4NWMcmj22HssI76u.jpg,https://tools.by/product/1625291
"Цепь 38 см 15"" 0.325"" 1.3 мм 64 зв. 325TA (в блистере) ECO",N1C-050E,"36,05","Файлы | | | | | | | | | Производитель: | ECO GROUP HONG KONG LIMITED. UNIT 617, 6/F, 131-132 CONNAUGHT ROAD WEST, SOLO WORKSHOPS, HONG KONG | | | Назначение: | Садово-парковое назначение | | | Страна изготовления: | Китай | | | Импортер/Продавец: | ООО ""ТД Комплект"", РБ, г.Минск, ул. Кнорина,д.50,к.302 А | | | Штрихкод: | | 8212107216129 | | | | | Габариты ДxШxВ, см: | 16.8 x 9 x 2.5 | | | Вес с упаковкой, кг: | 0.26 | | | | | | | | | | | | | | | | | | ECO | Садовая и силовая техника | | | | | | | | | Описание: | Пильные цепи ECO Multli Sharp со слабой отдачей и специальной системой смазки Oilotec system для увеличения срока службы - оптимальный выбор режущей оснастки для Вашей бензопилы. Режущий зуб выполнен из качественной стали. | | аналог цепи OREGON - 20LPX064E. | Упаковка: блистер с подвесом",,https://content.tools.by/images/products/cb-0585804450/jOy/jOyaERZSZEoyk6bPL3OMECRUInVxIgtqdVwPkatg.jpg,https://tools.by/product/1001338
"Тачка строительная ECO WB352-2 Comfort (130л, 350кг, 2 пневмоколеса 4.00-8)",WB141-1,"97,00","Преимущества: | | ■ Инновационные поворотные рукоятки комфорт при разгрузке | ■ Стальной оцинкованный кузов | ■ Прочная, усиленная рама | ■ Толщина металла кузова 0,9 мм | ■ Пылезащищённый подшипник | ■ Большие пневматические колеса | | | | | | | | | | | Файлы | | | | | | | | | Производитель: | ECO GROUP HONG KONG LIMITED, UNIT 617, 6/F, 131-132 CONNAUGHT ROAD WEST, SOLO WORKSHOPS, HONG KONG | | | Назначение: | | | | Страна изготовления: | Китай | | | Импортер/Продавец: | ООО ""ТД Комплект"", РБ, г.Минск, ул. Кнорина,д.50,к.302 А | | | Штрихкод: | | 6977125193242 | | | | | Габариты ДxШxВ, см: | 139 x 62 x 59.5 | | | Вес с упаковкой, кг: | 16.55 | | | | | | | | | | | | | | | | | | ECO | Садовая и силовая техника",,https://content.tools.by/images/products/cz-0198129980/dNs/dNsxu3PXfyA9gxEeHN8jlU84cqtKjYmwK3upyPLx.jpg,https://tools.by/product/1686147?slide=2
"Фильтр тонкой очистки (малый) для очистителя высокого давления ECO
                    (универсальный)",18250002,"18,00","Производитель: | ECO GROUP HONG KONG LIMITED, UNIT 617, 6/F, 131-132 CONNAUGHT ROAD WEST, SOLO WORKSHOPS, HONG KONG | | | Назначение: | | | | Страна изготовления: | Китай | | | Импортер/Продавец: | ООО ""ТД Комплект"", РБ, г.Минск, ул. Кнорина,д.50,к.302 А | | | Штрихкод: | | 8212107216587 | | | | | Габариты ДxШxВ, см: | 14.3 x 7 x 3.4 | | | Вес с упаковкой, кг: | 0.025 | | | | | | | | | | | | | | | | | | ECO | Садовая и силовая техника | | | | | | | | | Описание: | Фильтр тонкой очистки предназначен для очистки воды на входной магистрали очистителя высокого давления. | Назначение: за счет фильтрующего элемента очищает воду от механических примесей. Подсоединяется ко входному отверстию очистителя высокого давления. | Не предназначен для питьевой воды. | | | | | Комплектация: | | + Фильтр тонкой очистки - 1 шт.; | + Упаковка.",,https://content.tools.by/images/products/cv-2383711956/8O8/8O87WpmmdGlEWexjZ03yIJDiqqyJU8ViJJ3KiC5y.jpg,https://tools.by/product/1024520
"Пистолет моечный пневматический ECO AWG-11
                    (130 л/мин; бак:900 мл; 4-8 бар)",JEAM0821,"32,86","Файлы | | | | | | | | | Производитель: | ECO GROUP HONG KONG LIMITED. UNIT 617, 6/F, 131-132 CONNAUGHT ROAD WEST, SOLO WORKSHOPS, HONG KONG, CHINA | | | Назначение: | Для бытовых ремонтных работ | | | Страна изготовления: | Китай | | | Импортер/Продавец: | ООО ""ТД Комплект"", РБ, г.Минск, ул. Кнорина,д.50,к.302 А | | | Штрихкод: | | 8212107216488 | | | | | Габариты ДxШxВ, см: | 37 x 17 x 11 | | | Вес с упаковкой, кг: | 0.548 | | | | | | | | | | | | | | | | | | ECO | Садовая и силовая техника | | | | | | | | | Описание: | Моечный пневмопистолет предназначен для мойки и смазки поверхностей, узлов или деталей потоком моющей жидкости и воздухом. Подключается к источнику сжатого воздуха (компрессору). | Оснащен быстросъемным соединением для удобства использования. | Медное сопло, устойчивое к коррозии.",,https://content.tools.by/images/products/cv-1451835300/n9j/n9jC3NG5lh2p22wi964qe2lmXknRfLuHkVPSIyvz.jpg,https://tools.by/product/1013436
"Прессостат четырехходовой для компрессора ECO
                    (Резьба - 1/4"" - 4шт, Давление ВКЛ - 6 бар, Давление ОТКЛ - 8 бар)",AES-114P,"34,20","Производитель: | ECO GROUP HONG KONG LIMITED, UNIT 617, 6/F, 131-132 CONNAUGHT ROAD WEST, SOLO WORKSHOPS, HONG KONG | | | Назначение: | Запасные части | | | Страна изготовления: | Китай | | | Импортер/Продавец: | ООО ""ТД Комплект"", РБ, г.Минск, ул. Кнорина,д.50,к.302 А | | | Штрихкод: | | 6920904821485 | | | | | Габариты ДxШxВ, см: | 13.4 x 10.7 x 8.9 | | | Вес с упаковкой, кг: | 0.372 | | | | | | | | | | | | | | | | | | ECO | Садовая и силовая техника | | | | | | | | | Описание: | Подходит к компрессорам с прямым приводом: | ECO AE-251-3; | ECO AE-251-4; | ECO AE-251-12; | ECO AE-251-15; | ECO AE-251-18; | ECO AE-251-18HD; | ECO AE-501-3; | ECO AE-501-4; | ECO AE-501-15; | ECO AE-501-18HD; | ECO AE-502-3; | ECO AE-502-22; | ECO AE-502-22.1; | ECO AE-702-22; | ECO AE-705-3; | ECO AE-1005-3; | и к другим аналогичным моделям | | Подходит к компрессорам с ременным приводом: | ECO AE-704-22; | ECO AE-1004-22; | ECO AE-1004V-22; | ECO AE-703-22HD; | ECO AE-1000-22HD; | HDC HD-A051; | HDC HD-A071; | HDC HD-A101; | и к другим аналогичным моделям | | Подходит к безмасляным компрессорам: | ECO AE-10-OF1; | ECO AE-25-OF1; | ECO AE-50-OF1;",,https://content.tools.by/images/products/cb-0103821592/vGS/vGSYHm1ZF525sWj03bejHA2EI9euYjkVd3Fc0Nrp.jpg,https://tools.by/product/922372
"Мотобур ECO GD-53
                    (1.85 кВт; 10 кг; шнек до 200 мм)",DG3510-1,"408,00","Преимущества: | | ■ Эргономичная рукоятка с регулировкой в 2-х положениях | ■ Все органы управления расположены на одной рукоятке для удобного управления рабочим процессом | ■ Эффективная антивибрационная система | ■ Использование улучшенного (усиленного) ручного стартера с системой лёгкий запуск | ■ Надежный 2-х тактный двигатель с увеличенным моторесурсом | ■ Редуктор повышенной прочности | ■ Топливный бак с полупрозрачными стенками | ■ Праймер (система лёгкого запуска) | ■ Ударопрочный корпус двигателя | ■ Два поршневых кольца для высокой компрессии. | | | | | | | | | | | Файлы | | | | | | | | | Производитель: | ECO GROUP HONG KONG LIMITED, UNIT 617, 6/F, 131-132 CONNAUGHT ROAD WEST, SOLO WORKSHOPS, HONG KONG | | | Назначение: | Садово-парковое назначение | | | Страна изготовления: | Китай | | | Импортер/Продавец: | ООО ""ТД Комплект"", РБ, г.Минск, ул. Кнорина,д.50,к.302 А | | | Штрихкод: | | 8212107216105 | | | | | Габариты ДxШxВ, см: | 39.5 x 30 x 36 | | | Вес с упаковкой, кг: | 10.2 | | | | | | | | | | | | | | | | | | ECO | Садовая и силовая техника | | | | | | | | | Описание: | БЕЗ БУРА - бур необходимого диаметра приобретается отдельно! | | Мощное и универсальное оборудование для применения в коммунальном хозяйстве или на приусадебном участке. Область применения: установка свайных фундаментов, ограждений и заборов, посадка деревьев. | | | | | Комплектация: | | + Мотобур (двигатель); | + cвечной ключ; | + емкость для смешивания топливной смеси; | + набор шестигранных и рожковых ключей; | + инструкция по эксплуатации.",,https://content.tools.by/images/products/cb-2871478822/TJV/TJVNTxInf4JpTQPgR0nv5DxcrlXqyqtBvYn5MIYD.jpg,https://tools.by/product/999419?slide=2
"Соединение быстросъем. ПАПА х внутр. резьба 1/4"" (латунь) ECO",AB-MT14/E08,"4,06","Производитель: | ECO GROUP HONG KONG LIMITED, UNIT 617, 6/F, 131-132 CONNAUGHT ROAD WEST, SOLO WORKSHOPS, HONG KONG | | | Назначение: | Для обеспечения шланговых соединений | | | Страна изготовления: | Китай | | | Импортер/Продавец: | ООО ""ТД Комплект"", РБ, г.Минск, ул. Кнорина,д.50,к.302 А | | | Штрихкод: | | 5291501777996 | | | | | Габариты ДxШxВ, см: | 7.1 x 9 x 2 | | | Вес с упаковкой, кг: | 0.024 | | | | | | | | | | | | | | | | | | ECO | Садовая и силовая техника | | | | | | | | | Описание: | Быстросъемное соединение ПАПА наиболее распространенного Немецкого типа (Germany type). | Латунный корпус исключает возможность появления коррозии.",,https://content.tools.by/images/products/cb-0389262419/nu2/nu2zYPZv2vNFsN9bB6zKsSi8D67rKKWgwW1ZUTsR.jpg,https://tools.by/product/911516
"Фильтр воздушный ECO с регулятором давления (1/4"")",AF-01B,"14,06","Производитель: | ECO GROUP HONG KONG LIMITED. UNIT 617, 6/F, 131-132 CONNAUGHT ROAD WEST, SOLO WORKSHOPS, HONG KONG, CHINA | | | Назначение: | Для обеспечения шланговых соединений | | | Страна изготовления: | Китай | | | Импортер/Продавец: | ООО ""ТД Комплект"", РБ, г.Минск, ул. Кнорина,д.50,к.302 А | | | Штрихкод: | | 5291501778375 | | | | | Габариты ДxШxВ, см: | 27.7 x 6.5 x 8.2 | | | Вес с упаковкой, кг: | 0.625 | | | | | | | | | | | | | | | | | | ECO | Садовая и силовая техника | | | | | | | | | Описание: | Выполняемые функции: | 1) Регулировка давления воздуха; | 2) Масло- влагоотделение;",,https://content.tools.by/images/products/cb-6797781936/OT4/OT4kc2r23cGGdygQSsb1DBYxiTUQYsyqMeE0l3nu.jpg,https://tools.by/product/101388
Маховик ECO HU137/142,CSP-HU137-001,"68,40","Производитель: | ECO GROUP HONG KONG LIMITED, UNIT 617, 6/F, 131-132 CONNAUGHT ROAD WEST, SOLO WORKSHOPS, HONG KONG | | | Назначение: | Запасные части | | | Страна изготовления: | Китай | | | Импортер/Продавец: | ООО ""ТД Комплект"", РБ, г.Минск, ул. Кнорина,д.50,к.302 А | | | Штрихкод: | | 8210803862251 | | | | | Габариты ДxШxВ, см: | 7 x 7 x 5 | | | Вес с упаковкой, кг: | 0.31 | | | | | | | | | | | | | | | | | | ECO | Садовая и силовая техника | | | | | | | | | Описание: | Совместимость: | для бензопил Husqvarna 137142 | | | | | Комплектация: | | + маховик - 1шт;",,https://content.tools.by/images/products/ce-1411164196/2Mo/2Mo0IGplTuufiRIDtZ2r52AwbE5xuUw2BsfyYA7C.jpg,https://tools.by/product/1647873
Пистолет для антикоррозионных покрытий  SG-35C14  ECO со шлангом уцененный (0400313344),ASB-06S-у,"78,22","Производитель: | ECO GROUP HONG KONG LIMITED, UNIT 617, 6/F, 131-132 CONNAUGHT ROAD WEST, SOLO WORKSHOPS, HONG KONG | | | Назначение: | Для бытовых ремонтных работ | | | Страна изготовления: | Китай | | | Импортер/Продавец: | ООО ""ТД Комплект"", РБ, г.Минск, ул. Кнорина,д.50,к.302 А | | | Габариты ДxШxВ, см: | 6 x 20 x 30 | | | Вес с упаковкой, кг: | 0.55 | | | | | | | | | | | | | | | | | | ECO | Садовая и силовая техника | | | | | | | | | Описание: | Механическое повреждение упаковки.",,https://content.tools.by/images/products/cz-0400313344/YzW/YzWbjYp0DhoqeNehbcBQOgubf4G915ActuRPSSLu.jpg,https://tools.by/product/1751196
